行政代码,地名,东经,北纬
450125,广西上林县,108.645815,23.52173
450126,广西宾阳县,108.940495,23.168344
450127,广西横县,109.168927,22.774919
450200,广西柳州市,109.422402,24.329053
450201,广西柳州市市辖区,109.422402,24.329053
450202,广西柳州市城中区,109.483181,24.371128
450203,广西柳州市鱼峰区,109.456327,24.275816
450204,广西柳州市柳南区,109.343466,24.306184
450205,广西柳州市柳北区,109.413915,24.471743
450221,广西柳江县,109.274221,24.209539
450222,广西柳城县,109.230197,24.629882
450223,广西鹿寨县,109.802816,24.532198
450224,广西融安县,109.51401,25.139783
450225,广西融水苗族自治县,109.057863,25.343699
450226,广西三江侗族自治县,109.510081,25.747566
450300,广西桂林市,110.26092,25.262901
450301,广西桂林市市辖区,110.26092,25.262901
450302,广西桂林市秀峰区,110.274549,25.287138
450303,广西桂林市叠彩区,110.336226,25.318874
450304,广西桂林市象山区,110.284608,25.215755
450305,广西桂林市七星区,110.356588,25.26467
450311,广西桂林市雁山区,110.371485,25.112806
450321,广西阳朔县,110.482929,24.857282
450322,广西临桂县,110.071405,25.306238
450323,广西灵川县,110.418129,25.381009
450324,广西全州县,111.026435,25.936465
450326,广西永福县,109.91693,24.99733
450327,广西灌阳县,111.077708,25.458881
450325,广西兴安县,110.601021,25.607031
450328,广西龙胜各族自治县,110.01025,25.868328
450329,广西资源县,110.598427,26.067857
450330,广西平乐县,110.79769,24.55892
